id,x,y
PPN745143385_PHYS_0001,0.3671098836739804,0.5159115302887036
PPN745143385_PHYS_0002,1.1406553018043752,0.2782774843101247
PPN745143385_PHYS_0003,1.0896590036144225,0.17723179078782775
PPN745143385_PHYS_0004,1.0855373706545488,0.16184417728324393
PPN745143385_PHYS_0005,0.8928152395502089,0.037325049956238365
PPN745143385_PHYS_0006,1.0438755132390674,0.16142718801369516
PPN745143385_PHYS_0007,0.4120725397202657,0.4174002280239041
PPN745143385_PHYS_0008,1.054143396830985,0.15707718345100316
PPN745143385_PHYS_0009,0.944920818378914,0.06541020152733569
PPN745143385_PHYS_0010,0.9316376996613059,0.08677496827032055
PPN745143385_PHYS_0011,0.9460166549258139,0.08247842109022989
PPN745143385_PHYS_0012,0.9179908225414573,0.08993011376877005
PPN745143385_PHYS_0013,1.0417629172589034,0.20079775373974132
PPN745143385_PHYS_0014,1.0654751285897808,0.15577076609628318
PPN745143385_PHYS_0015,0.057825973553721564,0.3715023350846667
PPN745143385_PHYS_0016,0.7820208327166459,0.06287562509351739
PPN745143385_PHYS_0017,0.7785744919186787,0.12277051446216243
PPN745143385_PHYS_0018,0.9347827742809486,0.15668995394611376
PPN745143385_PHYS_0019,0.8775494721650335,0.0923810906587373
PPN745143385_PHYS_0020,0.7554352734658842,0.16170763820487546
PPN745143385_PHYS_0021,0.3881989073312627,0.2846728385274849
PPN745143385_PHYS_0022,0.4055354933025376,0.3045542628417509
PPN745143385_PHYS_0023,0.7724399276029439,0.09494821232131247
PPN745143385_PHYS_0024,0.7877985390304368,0.09608404775300032
PPN745143385_PHYS_0025,0.5777072525811914,0.16981119377764442
PPN745143385_PHYS_0026,0.9243797608058708,0.284246895846178
PPN745143385_PHYS_0027,0.09611862936506599,0.2951368319338212
PPN745143385_PHYS_0028,0.011804721042712038,0.2865485655476333
PPN745143385_PHYS_0029,-0.020577929379343822,0.30318435002566124
PPN745143385_PHYS_0030,-0.011439423073961778,0.2901108718180605
PPN745143385_PHYS_0031,-0.04365726855829721,0.27670337247034943
PPN745143385_PHYS_0032,0.5433936465656988,0.3231845683604115
PPN745143385_PHYS_0033,0.47378593985988016,0.2573807906412679
PPN745143385_PHYS_0034,0.4806382927848584,0.409999278133325
PPN745143385_PHYS_0035,0.38770952221597177,0.5769646531786033
PPN745143385_PHYS_0036,0.5934880741811577,0.377390052689745
PPN745143385_PHYS_0037,0.5742284423316029,0.36515526521981373
PPN745143385_PHYS_0038,0.6088623251108183,0.4041387330688475
PPN745143385_PHYS_0039,0.5462335283460171,0.3789476192743029
